primary_sector,mmtco2e_2023,mmtco2e_2011,n_facilities,pct_change
Power Plants,1437.3464910131654,2195.8931983834955,1299,-34.54387981750357
Chemicals,277.94164873909904,274.2544998064103,462,1.3444260478101175
Other,136.25854804257543,149.55551887272873,1233,-8.890993077606838
Petroleum and Natural Gas Systems,113.31984066410574,103.45586512999999,1183,9.534476872539734
Minerals,109.60129499284581,104.38023255200001,383,5.001964752516504
Waste,92.21551907936889,106.18519019088102,1196,-13.155950548659295
Metals,84.13874006900001,119.10817611329999,295,-29.35939176084419
Petroleum Product Suppliers,68.410138476,78.765410696,76,-13.146979274908906
Pulp and Paper,35.7050437596257,47.600863835999995,208,-24.990765120059898
Natural Gas and Natural Gas Liquids Suppliers,13.699284536824672,11.778192803,93,16.310581478470578
Injection of CO2,9.700590980875038,11.214272303000001,26,-13.497811371318571
Refineries,4.117321714,4.875103638000001,5,-15.543914145605298
