year,co2,co2_per_capita,co2_per_gdp,share_global_co2,total_ghg
2010,5669.25,18.225,0.372,17.016,6823.523
2011,5538.973,17.634,0.358,16.064,6523.64
2012,5331.467,16.812,0.337,15.252,6388.708
2013,5473.436,17.099,0.339,15.516,6488.665
2014,5531.385,17.119,0.335,15.596,6610.767
2015,5368.497,16.461,0.317,15.164,6408.286
2016,5245.362,15.935,0.305,14.82,6308.617
2017,5195.417,15.639,0.295,14.442,6319.225
2018,5361.236,16.001,0.296,14.595,6466.737
2019,5235.912,15.5,0.282,14.118,6360.787
2020,4689.954,13.817,0.26,13.34,5758.456
2021,5020.111,14.758,0.263,13.617,6131.129
2022,5055.403,14.802,0.259,13.471,6201.504
2023,4918.407,14.319,,12.911,6078.455
