country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share
United States,1960,USA,180274556.0,3262376247000.0,28.798,0.16,2897.308,65.4,2.309,3089.734,61.879,2.044,17.139,0.947,,16.072,0.888,,917.957,5.092,,,,761.478,119335.93,233055.688,79645.914,440.977,9410.357,113889.938,28880.545,196.651,,,30.316,0.168,630.025,3.495,19.03,22.184,192.427,1.067,670.005,3.717,191.028,1.06,1281.631,7.109,0.048,8.582,,18.297,30.865,18.178,17.796,34.679,38.696,28.515,32.825,44.762,87.305,22.179,55.992,,34.009,75.487,2.528,41.078,,24.277,0.022,0.1,0.126,0.004,3999.151,3430.586,,
United States,1961,USA,183489491.0,3338583925000.0,28.699,0.156,2886.862,-10.446,-0.361,2959.336,-130.398,-4.22,16.128,0.886,,15.733,0.865,,887.432,4.836,,,,790.177,122222.789,236015.031,80533.352,469.175,10046.772,113962.406,30177.863,205.453,,,28.198,0.154,636.415,3.468,18.721,21.369,72.474,0.395,679.998,3.706,201.644,1.099,1297.316,7.07,0.048,8.802,,17.484,30.662,17.362,17.949,33.483,38.458,28.287,32.528,43.791,86.158,21.869,54.98,,32.705,72.146,0.95,39.205,,24.109,0.023,0.101,0.128,0.004,3920.929,3435.125,,
United States,1962,USA,186724275.0,3539745088000.0,29.878,0.16,2993.898,107.037,3.708,3222.992,263.656,8.909,17.261,0.911,,16.034,0.846,,920.815,4.931,,,,820.055,125216.688,239238.0,81454.164,492.097,10723.14,114191.508,31512.611,214.622,,,22.922,0.123,676.367,3.622,19.124,22.336,229.094,1.227,707.143,3.787,211.578,1.133,1334.748,7.148,0.049,9.169,,16.941,30.715,19.087,18.683,32.333,38.227,28.104,32.257,42.52,84.911,21.617,53.916,,26.675,69.886,3.209,37.511,,23.968,0.023,0.103,0.13,0.004,4170.585,3570.936,,
United States,1963,USA,189825225.0,3692868388000.0,31.435,0.166,3126.484,132.585,4.429,3240.189,17.197,0.534,17.069,0.877,,16.47,0.847,,987.005,5.2,,,,851.49,128343.172,242478.203,82441.164,512.747,11441.595,114305.211,32871.867,224.304,,,20.65,0.109,718.455,3.785,19.678,22.407,113.705,0.599,735.74,3.876,223.722,1.179,1359.256,7.161,0.051,9.682,,16.902,30.452,18.816,19.323,31.278,37.991,27.92,32.001,41.091,83.664,21.357,52.805,,22.816,68.624,1.635,35.735,,23.831,0.024,0.104,0.132,0.004,4253.487,3735.386,,
United States,1964,USA,192819457.0,3906860040000.0,33.026,0.171,3264.306,137.822,4.408,3352.256,112.067,3.459,17.385,0.858,,16.929,0.836,,1049.172,5.441,,,,884.516,131607.484,245830.453,83490.344,531.159,12200.665,114393.164,34265.785,235.013,,,18.412,0.095,759.071,3.937,20.258,22.844,87.95,0.456,763.123,3.958,234.193,1.215,1393.917,7.229,0.056,10.709,,16.02,30.157,19.173,20.125,30.204,37.748,27.748,31.765,39.038,82.278,21.111,51.64,,16.324,65.835,1.321,33.962,,23.702,0.024,0.106,0.134,0.004,4404.858,3906.054,,
United States,1965,USA,195653774.0,4156141170000.0,33.295,0.17,3399.539,135.233,4.143,3448.509,96.253,2.871,17.626,0.83,0.239,17.375,0.818,0.235,1090.612,5.574,,,,917.811,135007.016,249278.969,84580.953,548.347,12983.271,114442.133,35730.477,246.163,73802.305,3.474,17.188,0.088,782.605,4.0,20.827,23.21,48.97,0.25,786.26,4.019,246.671,1.261,1464.691,7.486,0.057,11.149,14439.7,15.384,30.056,19.487,20.62,29.184,37.506,27.586,31.545,36.776,80.846,20.874,50.492,,13.177,63.592,0.767,33.217,,23.577,0.025,0.107,0.137,0.004,4541.088,4074.854,,
United States,1966,USA,198265400.0,4428300240000.0,34.573,0.174,3571.417,171.878,5.056,3599.453,150.944,4.377,18.155,0.813,0.236,18.013,0.806,0.234,1132.715,5.713,,,,952.383,138578.422,252878.422,85713.664,568.579,13825.478,114470.164,37260.137,258.192,76903.805,3.443,20.233,0.102,842.207,4.248,21.608,23.861,28.035,0.141,811.726,4.094,257.881,1.301,1529.661,7.715,0.061,12.029,15247.364,14.838,30.106,20.245,21.172,28.195,37.27,27.444,31.343,34.762,79.46,20.656,49.336,,13.995,62.852,0.474,32.143,,23.468,0.026,0.109,0.139,0.004,4730.773,4284.058,,
United States,1967,USA,200699913.0,4538979504000.0,33.594,0.167,3705.461,134.043,3.753,4218.675,619.222,17.203,21.02,0.929,0.267,18.463,0.816,0.235,1163.051,5.795,,,,985.977,142283.906,257097.094,86876.719,594.964,14706.76,114983.375,38849.328,270.148,78617.57,3.476,26.384,0.131,881.283,4.391,22.177,26.152,513.214,2.557,837.64,4.174,270.501,1.348,1589.193,7.918,0.06,11.956,15778.539,14.004,30.28,22.819,22.103,27.254,37.047,27.353,31.168,32.576,78.093,20.517,48.201,,13.83,61.495,8.211,31.317,,23.39,0.027,0.111,0.142,0.004,5248.613,4450.893,,
United States,1968,USA,203011020.0,4754925846000.0,35.32,0.174,3840.923,135.462,3.656,4706.649,487.975,11.567,23.184,0.99,0.282,18.92,0.808,0.23,1139.607,5.614,,,,1021.297,146124.812,261803.734,88016.32,622.781,15643.12,115849.109,40538.75,282.544,82357.039,3.516,27.817,0.137,936.361,4.612,22.758,27.989,865.726,4.264,865.984,4.266,278.358,1.371,1689.423,8.322,0.061,12.396,16719.387,13.836,29.762,24.472,21.423,26.369,36.81,27.295,30.986,30.676,76.712,20.441,47.069,,13.649,60.033,13.683,30.56,,23.332,0.028,0.113,0.145,0.005,5682.007,4620.22,,
United States,1969,USA,205300034.0,4903770015000.0,35.697,0.174,4035.156,194.233,5.057,4499.217,-207.432,-4.407,21.915,0.918,0.256,19.655,0.823,0.229,1158.011,5.641,,,,1056.994,150159.984,266302.969,89174.336,651.096,16661.203,116313.172,42320.379,295.967,85647.445,3.586,28.315,0.138,1018.083,4.959,23.639,27.435,464.061,2.26,898.701,4.378,285.428,1.39,1781.627,8.678,0.065,13.423,17583.424,13.192,29.321,21.733,20.985,25.509,36.56,27.178,30.795,28.629,75.387,20.274,45.948,,11.603,59.582,6.686,29.801,,23.255,0.028,0.115,0.148,0.005,5632.307,4853.043,,
United States,1970,USA,207796338.0,4912635816000.0,34.924,0.168,4339.704,304.548,7.547,4679.832,180.614,4.014,22.521,0.953,0.257,20.884,0.883,0.238,1168.109,5.621,,,,1091.918,154499.672,270982.781,90342.438,677.345,17720.414,116653.297,44358.461,309.097,87613.859,3.706,26.249,0.126,1059.211,5.097,24.727,28.016,340.127,1.637,890.701,4.286,277.494,1.335,2038.082,9.808,0.063,13.13,18205.84,12.117,29.127,21.677,20.497,24.638,36.299,27.059,30.596,26.542,74.17,20.099,44.85,,9.451,59.143,5.084,29.976,,23.162,0.029,0.117,0.151,0.005,5821.585,5138.167,,
United States,1971,USA,210426423.0,5065682434000.0,35.51,0.169,4365.483,25.779,0.594,4645.622,-34.21,-0.731,22.077,0.917,0.25,20.746,0.862,0.235,1107.425,5.263,,,,1127.428,158865.156,275628.438,91449.867,692.606,18817.342,116933.438,46455.766,322.153,88339.711,3.67,15.261,0.073,1096.927,5.213,24.542,27.609,280.138,1.331,899.536,4.275,280.347,1.332,2097.305,9.967,0.062,13.056,18589.01,11.717,28.157,21.465,19.428,23.811,36.013,26.941,30.385,24.104,72.864,19.937,43.783,,4.747,56.73,4.563,29.125,,23.076,0.03,0.119,0.154,0.005,5809.696,5164.188,,
